x,Avant Réforme,Après Réforme
1975.0402,63.8823,63.6343
1976.0457,64.0051,63.7847
1977.0593,63.923,63.7798
1978.0209,63.9905,63.8953
1979.0784,63.9165,63.8826
1980.0236,63.968,64.0084
1981.0326,63.8915,64.0015
1982.0052,64.0748,64.1569
1983.0198,64.0588,64.1927
1983.9931,64.1368,64.2939
1984.9802,64.2098,64.367
1986.0114,64.2848,64.4804
1987.0419,64.2463,64.4926
1988.0201,64.4312,64.6746
1989.0052,64.4365,64.6991
1990.0087,64.4477,64.7587
1990.9247,64.4684,64.8131
1991.9864,64.4343,64.8331
1992.9755,64.4144,64.8937
1993.9705,64.4283,64.9175
1994.9263,64.4887,65.0211
1995.9345,64.6277,65.1386
1997.042,64.6446,65.1305
1998.0056,64.5965,65.1825
1998.9781,64.5483,65.2307
2000.0192,64.4722,65.1743
