x,Système Universel,Hors Réforme
1974.9532,19652.1,19503.1
1974.9594,19653.2,19503.6
1975.9955,19844.2,19590.3
1975.9972,19844.7,19590.4
1976.97,20118.3,19692.2
1976.9966,20125.7,19695.6
1977.9938,20358.1,19821.6
1978.0128,20362.6,19823.4
1979.0222,20613.9,19914.1
1979.0349,20617.1,19915.9
1980.012,20900.7,20056.5
1980.0185,20903.3,20057.4
1980.9821,21290.6,20375.5
1981.0066,21288.6,20383.6
1981.9988,21210.4,20196.8
1982.0147,21218.8,20193.8
1982.9793,21725.6,20547.1
1983.0271,21735.1,20564.5
1984.0252,21935.4,20637.7
1984.0254,21935.5,20637.7
1985.0459,22264.5,20894.4
1985.0795,22275.3,20909.6
1985.9969,22849.2,21324.6
1985.9971,22849.2,21324.8
1987.0383,22841.9,21174.6
1987.0832,22841.6,21189.2
1988.011,23256.9,21490.9
1988.0718,23284.1,21504.7
1989.0316,23625,21722.7
1989.0711,23639.1,21723.1
1990.064,23750.3,21731.3
1990.0645,23750.4,21731.3
